gene_id	gene_name	MCIC_FC_2024_111	MCIC_FD_2024_105	MCIC_FD_2024_204	MCIC_MD_2024_109	MCIC_MD_2024_113	MCIC_MD_2024_116
L0F63_004038	L0F63_004038	10995	6678	9320	5516	8478	12962
L0F63_004039	L0F63_004039	156	367	29	370	51	160
L0F63_004040	L0F63_004040	505	993	161	1047	145	538
L0F63_004041	L0F63_004041	0	0	0	0	0	0
L0F63_004042	L0F63_004042	0	0	0	0	0	0
L0F63_004043	L0F63_004043	0	0	0	0	0	0
L0F63_004044	L0F63_004044	15	95	8	85	6	8
L0F63_004045	L0F63_004045	243	146	19	138	137	99
L0F63_004046	L0F63_004046	45	89	1832	391	126	258
L0F63_004047	L0F63_004047	0	0	0	0	0	0
L0F63_004048	L0F63_004048	1401	2227	60	2680	380	520
L0F63_004049	L0F63_004049	0	0	0	0	0	0
L0F63_004050	L0F63_004050	4	0	18	20	14	0
L0F63_004051	L0F63_004051	0	0	0	0	0	0
L0F63_004052	L0F63_004052	0	0	0	0	0	0
L0F63_004053	L0F63_004053	291	401	92	366	101	283
L0F63_004054	L0F63_004054	0	0	0	0	0	0
L0F63_004055	L0F63_004055	14	57	150	59	127	87
L0F63_004056	L0F63_004056	80	234	30	260	54	70
L0F63_004057	L0F63_004057	100	209	22	176	39	71
L0F63_004058	L0F63_004058	549	700	218	592	344	644
L0F63_004059	L0F63_004059	0	0	0	0	0	0
L0F63_004060	L0F63_004060	512	11	562	8	389	895
L0F63_004061	L0F63_004061	906	4671	162	3406	318	455
L0F63_004062	L0F63_004062	500	1530	9	1569	67	2
L0F63_004063	L0F63_004063	9	12	3	100	4	10
L0F63_004064	L0F63_004064	308	2681	40	3799	49	82
L0F63_004065	L0F63_004065	0	0	0	0	0	0
L0F63_004066	L0F63_004066	1262	106	989	212	1448	1838
L0F63_004067	L0F63_004067	204	474	129	626	134	183
L0F63_004068	L0F63_004068	0	0	0	0	0	0
L0F63_004069	L0F63_004069	7	266	0	129	22	0
L0F63_004070	L0F63_004070	0	0	0	0	0	0
L0F63_004071	L0F63_004071	0	0	0	0	0	0
L0F63_004072	L0F63_004072	7157	172	1956	209	3434	5069
L0F63_004073	L0F63_004073	0	0	0	0	0	0
L0F63_004074	L0F63_004074	1449	2534	416	2810	988	1286
L0F63_004075	L0F63_004075	0	0	0	0	0	0
L0F63_004076	L0F63_004076	294	897	69	911	119	217
L0F63_004077	L0F63_004077	0	0	0	0	0	0
L0F63_004078	L0F63_004078	1535	2844	1506	2699	1327	2078
L0F63_004079	L0F63_004079	3836	5985	1770	9056	2733	3491
L0F63_004080	L0F63_004080	0	0	0	0	0	0
L0F63_004081	L0F63_004081	0	0	0	0	0	0
L0F63_004082	L0F63_004082	0	0	0	0	0	0
L0F63_004083	L0F63_004083	215	632	203	2688	287	134
L0F63_004084	L0F63_004084	0	0	0	0	0	0
L0F63_004085	L0F63_004085	3180	1528	23	173	149	731
L0F63_004086	L0F63_004086	30	6	13	12	7.039	12
L0F63_004087	L0F63_004087	783	2145	154	1592	277	565
L0F63_004088	L0F63_004088	0	0	0	0	0	0
L0F63_004089	L0F63_004089	1521	2749	358	3390	1153	1599
L0F63_004090	L0F63_004090	0	0	0	0	0	0
L0F63_004091	L0F63_004091	245	479	41	515	80	188
L0F63_004092	L0F63_004092	8	15	0	21	1	2
L0F63_004093	L0F63_004093	0	0	0	0	0	0
L0F63_004094	L0F63_004094	0	0	0	0	0	0
L0F63_004095	L0F63_004095	1454	4393.219	1059	39954.524	1251.309	763
L0F63_004096	L0F63_004096	6877	9462	1684	12971	5892	5537
L0F63_004097	L0F63_004097	0	0	0	0	0	0
L0F63_004098	L0F63_004098	1388	3608	1198	2556	860	928
L0F63_004099	L0F63_004099	0	0	0	0	0	0
L0F63_004100	L0F63_004100	1240	1588	835	2731	541	797
L0F63_004101	L0F63_004101	1408	7756	475	10576	1878	1020
L0F63_004102	L0F63_004102	0	0	0	0	0	0
L0F63_004103	L0F63_004103	0	0	0	0	0	0
L0F63_004104	L0F63_004104	27	74	4	61	9	18
L0F63_004105	L0F63_004105	23	206	8	240	35	13
L0F63_004106	L0F63_004106	0	0	0	0	0	0
L0F63_004107	L0F63_004107	1093	2778	680	1912	747	1102
L0F63_004108	L0F63_004108	0	0	0	0	0	0
L0F63_004109	L0F63_004109	2618	3031	650	3735	641	2077
L0F63_004110	L0F63_004110	417	510	139	467	245	464
L0F63_004111	L0F63_004111	78	354	4	392	22	52
L0F63_004112	L0F63_004112	471	1754	47	1690	94	324
L0F63_004113	L0F63_004113	196	145	19	185	75	110
L0F63_004114	L0F63_004114	0	0	0	0	0	0
L0F63_004115	L0F63_004115	921	1276	903	1296	950	1165
L0F63_004116	L0F63_004116	1113	2703	353	3033	777	1120
L0F63_004117	L0F63_004117	0	0	0	0	0	0
L0F63_004118	L0F63_004118	0	0	0	0	0	0
L0F63_004119	L0F63_004119	184	1157	51	1797	44	131
L0F63_004120	L0F63_004120	618	596.865	455	580.909	345.951	755.892
L0F63_004121	L0F63_004121	80	7	74	3	124	77
L0F63_004122	L0F63_004122	607.561	30	95.929	75.761	103.962	393.928
L0F63_004123	L0F63_004123	0	0	0	0	0	0
